$HOME/.local/bin/brilcalc lumi --normtag ~lumipro/public/normtag_file/moriond16_normtag.json -i Cert_13TeV_16Dec2015ReReco_Collisions15_25ns_JSON_Silver_v2.txt --hltpath HLT_Ele105_CaloIdVT_GsfTrkIdT_v* -u /pb > brilcalc_16Dec2015ReReco_Silver_el.txt

+-------------+-------------------+------+----------------------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath                          | delivered(/pb) | recorded(/pb) |
| 259810:4528 | 10/23/15 02:27:57 | 114  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 10.166         | 9.903         |
| 259811:4528 | 10/23/15 03:14:40 | 89   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 7.792          | 7.470         |
| 259813:4528 | 10/23/15 03:55:28 | 10   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 0.866          | 0.746         |
| 259817:4528 | 10/23/15 04:12:46 | 5    | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 0.430          | 0.363         |
| 259818:4528 | 10/23/15 04:16:25 | 160  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 13.594         | 13.212        |
| 259820:4528 | 10/23/15 05:28:06 | 158  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 13.024         | 12.560        |
| 259821:4528 | 10/23/15 06:36:07 | 210  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 16.688         | 16.180        |
| 259822:4528 | 10/23/15 08:06:27 | 461  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 33.464         | 32.722        |
| 259861:4530 | 10/23/15 22:04:22 | 152  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 14.156         | 13.729        |
| 259862:4530 | 10/23/15 23:06:58 | 530  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 47.269         | 45.860        |
| 259884:4532 | 10/24/15 16:31:58 | 80   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 7.143          | 6.731         |
| 259890:4532 | 10/24/15 17:20:01 | 107  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 10.097         | 9.701         |
| 259891:4532 | 10/24/15 18:06:49 | 108  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 10.000         | 9.603         |
| 260373:4555 | 10/30/15 10:18:37 | 360  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 11.151         | 10.920        |
| 260424:4557 | 10/30/15 18:40:06 | 666  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 69.025         | 66.688        |
| 260425:4557 | 10/30/15 23:06:36 | 252  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 24.360         | 23.600        |
| 260426:4557 | 10/31/15 01:02:23 | 499  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 45.106         | 43.931        |
| 260427:4557 | 10/31/15 04:25:46 | 285  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 23.749         | 22.994        |
| 260431:4557 | 10/31/15 06:31:22 | 447  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 36.098         | 35.127        |
| 260532:4560 | 11/01/15 04:26:38 | 742  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 71.167         | 69.169        |
| 260533:4560 | 11/01/15 09:24:23 | 14   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 1.271          | 1.195         |
| 260534:4560 | 11/01/15 09:34:18 | 375  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 33.012         | 32.044        |
| 260536:4560 | 11/01/15 12:11:50 | 177  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 14.854         | 14.466        |
| 260538:4560 | 11/01/15 13:29:58 | 284  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 23.008         | 22.369        |
| 260541:4560 | 11/01/15 15:25:55 | 24   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 1.903          | 1.830         |
| 260575:4562 | 11/01/15 21:37:56 | 20   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 1.922          | 1.722         |
| 260576:4562 | 11/01/15 21:49:30 | 463  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 54.697         | 51.429        |
| 260577:4562 | 11/02/15 00:53:22 | 76   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 8.592          | 8.252         |
| 260593:4565 | 11/02/15 08:42:24 | 337  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 38.029         | 35.893        |
| 260627:4569 | 11/02/15 19:06:16 | 1740 | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 186.195        | 178.937       |
+-------------+-------------------+------+----------------------------------+----------------+---------------+
#Summary: 
+----------------------------------+-------+------+-------+-------------------+------------------+
| hltpath                          | nfill | nrun | ncms  | totdelivered(/pb) | totrecorded(/pb) |
+----------------------------------+-------+------+-------+-------------------+------------------+
| HLT_Ele105_CaloIdVT_GsfTrkIdT_v2 | 6     | 8    | 1099  | 18.288            | 17.731           |
| HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 44    | 120  | 39416 | 2764.483          | 2672.824         |
+----------------------------------+-------+------+-------+-------------------+------------------+
#Check JSON:
#(run,ls) in json but not in results: []
